,home_team,away_team,neutral,home_team_ranking,away_team_ranking,home_winning_count,home_drawing_count,away_winning_count,away_drawing_count,home_win_away,away_win_home,home_draw_away,home_mean_goal_diff,away_mean_goal_diff,predicted_outcome,predicted_winner,home_winning_proba,away_winning_proba,draw_proba
39,Iceland,Croatia,1,20.0,15.0,0.312941176,0.185882353,0.53559322,0.26779661,1,4,1,-0.45647058799999995,0.786440678,0,Croatia,0.3062044680118561,0.41061869263648987,0.28317689895629883
40,Mexico,Sweden,1,17.0,18.0,0.501792115,0.23894862600000003,0.490433031,0.22054380699999998,2,4,3,0.6798088409999999,0.697885196,0,Sweden,0.34646937251091003,0.3722820580005646,0.2812485694885254
41,Korea Republic,Germany,1,59.0,1.0,0.5251798560000001,0.256594724,0.586021505,0.205376344,1,2,0,0.851318945,1.0870967740000002,0,Germany,0.18034951388835907,0.6248176693916321,0.19483280181884766
42,Serbia,Brazil,1,37.0,2.0,0.44705882399999997,0.250980392,0.637605042,0.20063025199999998,0,3,1,0.490196078,1.273109244,0,Brazil,0.17382606863975525,0.6183894872665405,0.20778444409370422
43,Switzerland,Costa Rica,1,8.0,27.0,0.34877734899999996,0.21621621600000002,0.432758621,0.25517241399999996,1,1,0,-0.248391248,0.489655172,1,Switzerland,0.4460561275482178,0.277951180934906,0.27599263191223145
44,Japan,Poland,1,56.0,7.0,0.475792988,0.23038397300000002,0.429292929,0.252525253,2,4,0,0.594323873,0.333333333,0,Poland,0.2586268484592438,0.4786849021911621,0.2626883387565613
45,Senegal,Colombia,1,24.0,13.0,0.43083004,0.274703557,0.38068181799999995,0.276515152,0,1,1,0.324110672,0.022727273,1,Senegal,0.37017199397087097,0.358183354139328,0.27164462208747864
46,Panama,Tunisia,1,53.0,23.0,0.315270936,0.25369458100000003,0.419529837,0.289330922,0,0,0,-0.379310345,0.379746835,0,Tunisia,0.2474929392337799,0.47460225224494934,0.27790480852127075
47,England,Belgium,1,16.0,5.0,0.567041965,0.243602866,0.42013422799999994,0.21879194600000001,16,1,5,1.2016376659999999,0.144966443,1,England,0.5904620289802551,0.16959653794765472,0.23994143307209015
48,Uruguay,Portugal,1,22.0,3.0,0.43255814,0.244186047,0.480607083,0.23102866800000002,0,1,1,0.31744186,0.502529511,0,Portugal,0.2128041535615921,0.567020058631897,0.2201758176088333
49,France,Croatia,1,9.0,15.0,0.5372507870000001,0.248688353,0.53559322,0.26779661,2,3,0,0.820566632,0.786440678,0,Croatia,0.34550952911376953,0.38038259744644165,0.2741078734397888
50,Brazil,Sweden,1,2.0,18.0,0.637605042,0.20063025199999998,0.490433031,0.22054380699999998,10,2,4,1.273109244,0.697885196,1,Brazil,0.6254551410675049,0.1590249240398407,0.2155199646949768
51,England,Senegal,1,16.0,24.0,0.567041965,0.243602866,0.43083004,0.274703557,0,0,0,1.2016376659999999,0.324110672,1,England,0.4728511869907379,0.2554139494895935,0.27173489332199097
52,Spain,Russia,0,6.0,62.0,0.582089552,0.22835820899999998,0.5119402989999999,0.264179104,23,10,7,1.082089552,0.7477611940000001,1,Spain,0.584585428237915,0.1486852467060089,0.2667293846607208
53,Argentina,Denmark,1,4.0,12.0,0.5372507870000001,0.248688353,0.448320413,0.20801033600000002,2,1,0,0.820566632,0.38630491,1,Argentina,0.573712944984436,0.19072212278842926,0.2355649471282959
54,Germany,Switzerland,1,1.0,8.0,0.586021505,0.205376344,0.34877734899999996,0.21621621600000002,35,9,6,1.0870967740000002,-0.248391248,1,Germany,0.9314606785774231,0.006979888305068016,0.06155947595834732
55,Poland,Belgium,1,7.0,5.0,0.429292929,0.252525253,0.42013422799999994,0.21879194600000001,7,6,6,0.333333333,0.144966443,1,Poland,0.4696443974971771,0.2601141929626465,0.27024132013320923
56,Portugal,Croatia,1,7.0,15.0,0.480607083,0.23102866800000002,0.53559322,0.26779661,4,0,0,0.502529511,0.786440678,1,Portugal,0.558498203754425,0.20160919427871704,0.2398926466703415
57,Brazil,England,1,2.0,16.0,0.637605042,0.20063025199999998,0.567041965,0.243602866,11,4,11,1.273109244,1.2016376659999999,1,Brazil,0.5640088319778442,0.19368602335453033,0.24230509996414185
58,Spain,Argentina,1,6.0,4.0,0.582089552,0.22835820899999998,0.5372507870000001,0.248688353,6,6,2,1.082089552,0.820566632,1,Spain,0.3690166771411896,0.34700706601142883,0.28397634625434875
59,Germany,Poland,1,1.0,7.0,0.586021505,0.205376344,0.429292929,0.252525253,13,1,7,1.0870967740000002,0.333333333,1,Germany,0.7025039196014404,0.11948713660240173,0.17800889909267426
60,Portugal,Brazil,1,7.0,2.0,0.480607083,0.23102866800000002,0.637605042,0.20063025199999998,4,12,3,0.502529511,1.273109244,0,Brazil,0.2761390507221222,0.4714294373989105,0.2524315416812897
61,Spain,Germany,1,6.0,1.0,0.582089552,0.22835820899999998,0.586021505,0.205376344,7,9,7,1.082089552,1.0870967740000002,1,Spain,0.3562845289707184,0.35248416662216187,0.29123133420944214
62,Brazil,Spain,1,2.0,6.0,0.637605042,0.20063025199999998,0.582089552,0.22835820899999998,5,2,2,1.273109244,1.082089552,1,Brazil,0.6119808554649353,0.1703961193561554,0.2176230400800705
