,home_team,away_team,neutral,home_team_ranking,away_team_ranking,home_winning_count,home_drawing_count,away_winning_count,away_drawing_count,home_win_away,away_win_home,home_draw_away,home_mean_goal_diff,away_mean_goal_diff,predicted_outcome,predicted_winner,home_winning_proba,away_winning_proba,draw_proba
49,Denmark,Croatia,1,12.0,15.0,0.448320413,0.20801033600000002,0.53559322,0.26779661,2,6,3,0.38630491,0.786440678,0,Croatia,0.3132408321746639,0.3941255985123596,0.2926335693129769
50,Spain,Russia,0,6.0,62.0,0.582089552,0.22835820899999998,0.5119402989999999,0.264179104,23,10,7,1.082089552,0.7477611940000001,1,Spain,0.5606240202679318,0.1683646657774725,0.2710113139545953
51,Argentina,France,1,4.0,9.0,0.5372507870000001,0.248688353,0.489544895,0.21402214,11,1,7,0.820566632,0.441574416,1,Argentina,0.43662216806154514,0.28294006178307873,0.2804377701553764
52,Brazil,Mexico,1,2.0,17.0,0.637605042,0.20063025199999998,0.501792115,0.23894862600000003,6,1,4,1.273109244,0.6798088409999999,1,Brazil,0.4596276649837942,0.2669359385742221,0.27343639644198403
53,England,Poland,1,16.0,7.0,0.567041965,0.243602866,0.429292929,0.252525253,2,2,1,1.2016376659999999,0.333333333,1,England,0.47004708488176905,0.26205953548391575,0.2678933796343157
54,Germany,Costa Rica,1,1.0,27.0,0.586021505,0.205376344,0.432758621,0.25517241399999996,1,0,0,1.0870967740000002,0.489655172,1,Germany,0.4836205659622253,0.26118443914344625,0.25519499489432873
55,Japan,Belgium,1,56.0,5.0,0.475792988,0.23038397300000002,0.42013422799999994,0.21879194600000001,2,1,2,0.594323873,0.144966443,1,Japan,0.4007701380576053,0.338821903463591,0.2604079584788042
56,Portugal,Argentina,1,3.0,4.0,0.480607083,0.23102866800000002,0.5372507870000001,0.248688353,2,5,1,0.502529511,0.820566632,0,Argentina,0.35269639930686725,0.36818233862471467,0.2791212620684187
57,Brazil,England,1,2.0,16.0,0.637605042,0.20063025199999998,0.567041965,0.243602866,11,4,11,1.273109244,1.2016376659999999,1,Brazil,0.39285319275774033,0.2898438112648082,0.31730299597745176
58,Spain,Croatia,1,6.0,15.0,0.582089552,0.22835820899999998,0.53559322,0.26779661,3,2,1,1.082089552,0.786440678,1,Spain,0.40922859097267594,0.3083743889297614,0.28239702009756307
59,Germany,Japan,1,1.0,56.0,0.586021505,0.205376344,0.475792988,0.23038397300000002,1,0,1,1.0870967740000002,0.594323873,1,Germany,0.48276333344150535,0.26234470500479756,0.2548919615536972
60,Argentina,Brazil,1,4.0,2.0,0.5372507870000001,0.248688353,0.637605042,0.20063025199999998,37,41,24,0.820566632,1.273109244,2,DRAW,0.32431326003729666,0.33156711392780436,0.3441196260348992
61,Spain,Germany,1,6.0,1.0,0.582089552,0.22835820899999998,0.586021505,0.205376344,7,9,7,1.082089552,1.0870967740000002,1,Spain,0.3757194823806253,0.32754274686253676,0.29673777075683844
62,Brazil,Spain,1,2.0,6.0,0.637605042,0.20063025199999998,0.582089552,0.22835820899999998,5,2,2,1.273109244,1.082089552,1,Brazil,0.4100319123294098,0.31427707166213686,0.27569101600845364
63,Argentina,Germany,1,4.0,1.0,0.5372507870000001,0.248688353,0.586021505,0.205376344,10,7,5,0.820566632,1.0870967740000002,1,Argentina,0.3748555563675876,0.3398064172769076,0.2853380263555052
